activity_slug,activity_name,venue_id,venue_name,area,address,latitude,longitude,price_min_aed,price_max_aed,cost_per_person_min_aed,cost_per_person_max_aed,pricing_basis,price_note,indoor,min_people,max_people,duration_min_minutes,duration_max_minutes,opening_hours,description,website_url,booking_url,maps_url,current_image_url,source_url,price_verified_at,last_verified_at,verified,active,women_only,court_count,amenities,cover_image_url,image_2_url,image_3_url,image_source_url,image_credit,image_rights_status,image_notes,publish_status,admin_notes
restaurants-food,Restaurants / Food,7a516dda-721c-4b03-b454-ffee674ad614,3Fils,Jumeirah Fishing Harbour,"Jumeirah Fishing Harbour 1, Dubai",,,,,,,menu pricing,À-la-carte modern Asian menu; check current prices.,true,1,8,60,120,{},Casual modern Asian restaurant at Jumeirah Fishing Harbour.,https://www.visitdubai.com/en/restaurants/3-fils,,,,https://www.visitdubai.com/en/restaurants/3-fils,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
trampoline-parks,Trampoline Parks,311c6aeb-d129-42da-aee2-799c6d783990,Air Maniax — Arabian Center,Al Mizhar,"Arabian Center, Al Khawaneej St, Al Mizhar 1, Dubai",,,90,249,90,249,per person,"General access: AED 90 one hour, AED 130 two hours, AED 199 full day. Premium: AED 120/160/249.",true,1,,60,480,{},"Inflatables, ninja warrior, parkour and family activity zones.",https://airmaniax.com/arabian-center-dubai/pricing/,https://airmaniax.com/arabian-center-dubai/pricing/,,,https://airmaniax.com/arabian-center-dubai/pricing/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
picnic-park,Picnic / Park,1008651b-51d5-4482-8794-767895968176,Al Barsha Pond Park,Al Barsha,,,,0,0,0,0,free public park,Public park; activity rentals may cost extra.,false,1,,60,300,{},"Family park with a large pond, paths and green space.",https://www.visitdubai.com/en/places-to-visit/al-barsha-pond-park,,,,https://www.visitdubai.com/en/places-to-visit/al-barsha-pond-park,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
walking,Walking,d466e1c9-504c-4a91-8f02-3d278a5a9a9e,Al Fahidi Historical Neighbourhood Walk,Al Fahidi / Bur Dubai,,,,0,0,0,0,free public walk,Walking the neighbourhood is free; individual museums/attractions may charge.,false,1,,45,180,{},"Explore traditional lanes, wind towers and heritage buildings.",https://www.visitdubai.com/en/places-to-visit/al-fahidi-historical-neighbourhood,,,,https://www.visitdubai.com/en/places-to-visit/al-fahidi-historical-neighbourhood,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
cycling,Cycling,0525901e-8778-4165-a78b-92908a9d8466,Al Qudra Cycle Track,Al Qudra,,,,0,0,0,0,free track access,Track access is free; bike rental is extra.,false,1,,60,300,{},Popular desert cycling route for road bikes.,https://www.visitdubai.com/en/places-to-visit/al-qudra-cycling-track,,,,https://www.visitdubai.com/en/places-to-visit/al-qudra-cycling-track,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
picnic-park,Picnic / Park,e516c484-50b1-4464-aed3-e5811d80a1b7,Al Qudra Lakes,Al Marmoom,,,,0,0,0,0,free entry,Entry is free and no pre-booking or permit is required.,false,1,,60,360,{},"Desert lakes popular for picnics, photography and wildlife spotting.",https://www.visitdubai.com/en/articles/dubais-photogenic-spots,,,,https://www.visitdubai.com/en/articles/dubais-photogenic-spots,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
walking,Walking,5a132735-bf49-4225-8cc3-013952636142,Al Seef Waterfront Walk,Al Seef / Dubai Creek,,,,0,0,0,0,free public walk,Public waterfront destination; no entry fee.,false,1,,30,180,{},"Creekside walk combining old-Dubai architecture, shops and restaurants.",https://www.visitdubai.com/en/places-to-visit/al-seef,,,,https://www.visitdubai.com/en/places-to-visit/al-seef,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
museums-galleries,Museums / Galleries,d02ffbab-db6e-4e07-8143-2bc3631d04bd,Alserkal Avenue,Al Quoz,,,,0,0,0,0,free district entry,The creative district is free to enter; individual events/workshops may charge.,true,1,,60,240,{},"Creative district with galleries, Cinema Akil, cafés and cultural spaces.",https://www.visitdubai.com/en/places-to-visit/alserkal-avenue,,,,https://www.visitdubai.com/en/places-to-visit/alserkal-avenue,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
theme-parks-attractions,Theme Parks / Attractions,bd94318b-391f-4c0d-a847-2f245ced5cc6,Aquaventure World,Palm Jumeirah,,,,,,,,date/package pricing,Ticket prices vary by date/package; check live rate when booking.,false,1,,240,480,{},Large waterpark at Atlantis The Palm.,https://www.atlantis.com/dubai/aquaventure,https://www.atlantis.com/dubai/aquaventure,,,https://www.atlantis.com/dubai/aquaventure,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
desert-activities,Desert Activities,69f17694-1499-4d5f-a47b-37cb69bbff69,Arabian Adventures — Evening Desert Safari,Dubai Desert Conservation Reserve,,,,649,649,649,649,per person,Shared evening desert safari with soft beverages from AED 649 per person.,false,1,6,360,360,{},"Dune drive, sunset stop, desert camp, dinner and entertainment.",https://experiences.visitdubai.com/productDetail/47481,https://experiences.visitdubai.com/productDetail/47481,,,https://experiences.visitdubai.com/productDetail/47481,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
