activity_name,venue_id,venue_name,area,website_url,source_url,current_image_url,cover_image_url,image_2_url,image_3_url,image_source_url,image_credit,image_rights_status,image_notes,publish_status,admin_notes
Restaurants / Food,7a516dda-721c-4b03-b454-ffee674ad614,3Fils,Jumeirah Fishing Harbour,https://www.visitdubai.com/en/restaurants/3-fils,https://www.visitdubai.com/en/restaurants/3-fils,,,,,,,,,published,
Trampoline Parks,311c6aeb-d129-42da-aee2-799c6d783990,Air Maniax — Arabian Center,Al Mizhar,https://airmaniax.com/arabian-center-dubai/pricing/,https://airmaniax.com/arabian-center-dubai/pricing/,,,,,,,,,published,
Picnic / Park,1008651b-51d5-4482-8794-767895968176,Al Barsha Pond Park,Al Barsha,https://www.visitdubai.com/en/places-to-visit/al-barsha-pond-park,https://www.visitdubai.com/en/places-to-visit/al-barsha-pond-park,,,,,,,,,published,
Walking,d466e1c9-504c-4a91-8f02-3d278a5a9a9e,Al Fahidi Historical Neighbourhood Walk,Al Fahidi / Bur Dubai,https://www.visitdubai.com/en/places-to-visit/al-fahidi-historical-neighbourhood,https://www.visitdubai.com/en/places-to-visit/al-fahidi-historical-neighbourhood,,,,,,,,,published,
Cycling,0525901e-8778-4165-a78b-92908a9d8466,Al Qudra Cycle Track,Al Qudra,https://www.visitdubai.com/en/places-to-visit/al-qudra-cycling-track,https://www.visitdubai.com/en/places-to-visit/al-qudra-cycling-track,,,,,,,,,published,
Picnic / Park,e516c484-50b1-4464-aed3-e5811d80a1b7,Al Qudra Lakes,Al Marmoom,https://www.visitdubai.com/en/articles/dubais-photogenic-spots,https://www.visitdubai.com/en/articles/dubais-photogenic-spots,,,,,,,,,published,
Walking,5a132735-bf49-4225-8cc3-013952636142,Al Seef Waterfront Walk,Al Seef / Dubai Creek,https://www.visitdubai.com/en/places-to-visit/al-seef,https://www.visitdubai.com/en/places-to-visit/al-seef,,,,,,,,,published,
Museums / Galleries,d02ffbab-db6e-4e07-8143-2bc3631d04bd,Alserkal Avenue,Al Quoz,https://www.visitdubai.com/en/places-to-visit/alserkal-avenue,https://www.visitdubai.com/en/places-to-visit/alserkal-avenue,,,,,,,,,published,
Theme Parks / Attractions,bd94318b-391f-4c0d-a847-2f245ced5cc6,Aquaventure World,Palm Jumeirah,https://www.atlantis.com/dubai/aquaventure,https://www.atlantis.com/dubai/aquaventure,,,,,,,,,published,
Desert Activities,69f17694-1499-4d5f-a47b-37cb69bbff69,Arabian Adventures — Evening Desert Safari,Dubai Desert Conservation Reserve,https://experiences.visitdubai.com/productDetail/47481,https://experiences.visitdubai.com/productDetail/47481,,,,,,,,,published,
Desert Activities,0968a5e6-5970-4f03-b9c4-99a99378ec34,Arabian Adventures — Fort Lisaili Desert Experience,Lisaili,https://experiences.visitdubai.com/productDetail/87472,https://experiences.visitdubai.com/productDetail/87472,,,,,,,,,published,
Desert Activities,7616f6dd-ee98-4734-9011-4932e118e7c1,Arabian Adventures — Morning Desert Adventure,Dubai Desert Conservation Reserve,https://experiences.visitdubai.com/productDetail/22644,https://experiences.visitdubai.com/productDetail/22644,,,,,,,,,published,
Restaurants / Food,b1a5635c-091e-478d-9d00-2a71764381cc,Aroos Damascus,Deira,https://www.visitdubai.com/en/restaurants/aroos-damascus,https://www.visitdubai.com/en/restaurants/aroos-damascus,,,,,,,,,published,
Restaurants / Food,c06c0e7b-91d7-4cda-9b87-bc93556574dd,Bait Maryam,JLT,https://www.visitdubai.com/restaurants/bait-maryam,https://www.visitdubai.com/restaurants/bait-maryam,,,,,,,,,published,
